timestamp,FIT101,LIT101,MV101,P101,AIT201,AIT202,AIT203,FIT201,MV201,P203,P205,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P402,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,PIT501,PIT502,PIT503,FIT601,P602
28/12/2015 12:43:01 PM,1.015279,0.696162,1.004537,-0.996238,0.920312,-0.265237,-0.874553,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.820312,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.653017,0.688394,0.553228,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.675653,0.667019,0.687585,0.687801,0.681331,0.682617,1.185750,0.683615,-0.095175,-0.088377
28/12/2015 12:43:02 PM,1.015279,0.697007,1.004537,-0.996238,0.920312,-0.241472,-0.899013,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.820312,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.653017,0.686307,0.551307,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.675653,0.650916,0.687585,0.687801,0.681331,0.682617,1.185750,0.683615,-0.095175,-0.088377
28/12/2015 12:43:03 PM,1.015279,0.703204,1.004537,-0.996238,0.920312,-0.241472,-0.899013,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.826361,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651706,0.685824,0.550923,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.675653,0.649198,0.687585,0.687801,0.681331,0.682617,1.185750,0.683615,-0.095175,-0.088377
28/12/2015 12:43:04 PM,1.015279,0.705457,1.004537,-0.996238,0.920312,-0.234993,-0.908794,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.824504,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651379,0.685824,0.549002,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.675653,0.633094,0.685684,0.687801,0.681331,0.682617,1.185750,0.683615,-0.095175,-0.088377
28/12/2015 12:43:05 PM,1.015279,0.708274,1.004537,-0.996238,0.920312,-0.217713,-0.933247,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.827755,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651379,0.685824,0.546569,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.675653,0.656498,0.685684,0.687801,0.681331,0.682617,1.185750,0.683615,-0.095175,-0.088377
28/12/2015 12:43:06 PM,1.010746,0.713907,1.004537,-0.996238,0.920312,-0.211227,-0.939766,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.829624,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651379,0.685824,0.543623,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.674850,0.682479,0.685684,0.687801,0.681331,0.682617,1.185750,0.681526,-0.095175,-0.088377
28/12/2015 12:43:07 PM,1.010746,0.716724,1.004537,-0.996238,0.920312,-0.211227,-0.951176,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.832411,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651379,0.682773,0.542727,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.674850,0.688061,0.685684,0.687801,0.681331,0.681153,1.185750,0.681526,-0.095175,-0.088377
28/12/2015 12:43:08 PM,1.010746,0.722075,1.004537,-0.996238,0.920312,-0.198269,-0.964219,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.833340,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651379,0.682773,0.541703,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.674850,0.701588,0.685684,0.687801,0.681331,0.681153,1.185750,0.681526,-0.095175,-0.088377
28/12/2015 12:43:09 PM,1.009235,0.725174,1.004537,-0.996238,0.920312,-0.198269,-0.974001,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.834269,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651379,0.682773,0.539526,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.674850,0.701588,0.685684,0.687801,0.681331,0.681153,1.092546,0.681526,-0.095175,-0.088377
28/12/2015 12:43:10 PM,1.008983,0.727427,1.004537,-0.996238,0.920312,-0.198269,-0.974001,-0.998658,-0.990160,-0.989212,-0.993005,-1.066138,-1.127156,0.836591,-0.075352,-1.055787,-0.118310,-0.708123,0.000000,-1.110883,0.340933,-0.651379,0.682773,0.538373,0.666260,0.681391,0.737557,-0.642645,-0.299403,-0.153877,0.674850,0.701588,0.685684,0.687801,0.681331,0.681153,1.092546,0.681526,-0.095175,-0.088377
